,0
0,"10,223,842"
1,"10,223,641"
2,"10,223,640"
3,"10,223,638"
4,"10,217,285"
5,"10,217,179"
6,"10,213,152"
7,"10,193,999"
8,"10,192,392"
9,"10,192,163"
10,"10,191,970"
11,"10,187,405"
12,"10,186,115"
13,"10,185,917"
14,"10,185,790"
15,"10,180,998"
16,"10,176,405"
17,"10,176,280"
18,"10,171,310"
19,"10,168,677"
20,"10,166,675"
21,"10,158,653"
22,"10,157,619"
23,"10,152,349"
24,"10,148,692"
25,"10,147,244"
26,"10,147,216"
27,"10,142,909"
28,"10,141,006"
29,"10,140,557"
30,"10,140,553"
31,"10,137,834"
32,"10,136,189"
33,"10,127,493"
34,"10,120,955"
35,"10,108,601"
36,"10,096,169"
37,"10,089,203"
38,"10,083,173"
39,"10,079,994"
40,"10,079,016"
41,"10,078,971"
42,"10,078,855"
43,"10,073,845"
44,"10,068,667"
45,"10,068,494"
46,"10,061,774"
47,"10,060,296"
48,"10,055,765"
49,"10,055,405"
50,"10,339,695"
51,"10,339,689"
52,"10,332,624"
53,"10,332,507"
54,"10,332,186"
55,"10,331,983"
56,"10,331,367"
57,"10,325,593"
58,"10,325,588"
59,"10,325,070"
60,"10,319,364"
61,"10,318,876"
62,"10,318,335"
63,"10,311,877"
64,"10,311,861"
65,"10,306,059"
66,"10,302,398"
67,"10,298,743"
68,"10,296,794"
69,"10,291,067"
70,"10,289,959"
71,"10,289,522"
72,"10,289,076"
73,"10,288,439"
74,"10,275,285"
75,"10,275,176"
76,"10,270,599"
77,"10,268,969"
78,"10,268,669"
79,"10,262,121"
80,"10,261,936"
81,"10,261,496"
82,"10,255,391"
83,"10,255,390"
84,"10,255,387"
85,"10,252,419"
86,"10,252,160"
87,"10,251,115"
88,"10,250,574"
89,"10,249,207"
90,"10,242,425"
91,"10,242,324"
92,"10,242,019"
93,"10,241,104"
94,"10,235,734"
95,"10,235,602"
96,"10,234,299"
97,"10,230,880"
98,"10,229,679"
99,"10,225,701"
100,"10,445,462"
101,"10,440,456"
102,"10,440,275"
103,"10,440,181"
104,"10,440,167"
105,"10,438,264"
106,"10,438,212"
