,0
0,"10,877,728"
1,"10,874,469"
2,"10,874,464"
3,"10,874,377"
4,"10,872,438"
5,"10,872,420"
6,"10,872,125"
7,"10,871,535"
8,"10,871,302"
9,"10,870,348"
10,"10,869,628"
11,"10,868,893"
12,"10,868,820"
13,"10,867,618"
14,"10,866,985"
15,"10,866,108"
16,"10,864,638"
17,"10,862,928"
18,"10,862,914"
19,"10,862,906"
20,"10,862,501"
21,"10,861,608"
22,"10,861,281"
23,"10,861,178"
24,"10,861,143"
25,"10,860,985"
26,"10,860,860"
27,"10,860,856"
28,"10,860,024"
29,"10,855,714"
30,"10,854,585"
31,"10,854,202"
32,"10,854,055"
33,"10,854,006"
34,"10,853,986"
35,"10,853,697"
36,"10,853,596"
37,"10,853,459"
38,"10,852,737"
39,"10,848,791"
40,"10,848,508"
41,"10,848,499"
42,"10,848,339"
43,"10,848,167"
44,"10,848,090"
45,"10,847,032"
46,"10,846,982"
47,"10,846,875"
48,"10,846,622"
49,"10,846,620"
50,"10,909,979"
51,"10,909,684"
52,"10,909,604"
53,"10,909,442"
54,"10,909,401"
55,"10,908,419"
56,"10,904,929"
57,"10,904,401"
58,"10,902,514"
59,"10,902,480"
60,"10,902,351"
61,"10,902,320"
62,"10,902,313"
63,"10,902,276"
64,"10,902,201"
65,"10,902,077"
66,"10,902,062"
67,"10,901,787"
68,"10,901,380"
69,"10,901,373"
70,"10,901,032"
71,"10,896,291"
72,"10,896,228"
73,"10,892,056"
74,"10,891,864"
75,"10,891,627"
76,"10,891,537"
77,"10,891,134"
78,"10,889,301"
79,"10,888,300"
80,"10,887,759"
81,"10,887,640"
82,"10,887,454"
83,"10,885,891"
84,"10,885,877"
85,"10,885,531"
86,"10,885,324"
87,"10,885,314"
88,"10,885,122"
89,"10,884,710"
90,"10,884,705"
91,"10,884,485"
92,"10,883,436"
93,"10,881,964"
94,"10,880,701"
95,"10,878,954"
96,"10,878,488"
97,"10,878,388"
98,"10,878,219"
99,"10,877,957"
100,"10,938,828"
101,"10,938,650"
102,"10,938,464"
103,"10,937,216"
104,"10,937,197"
105,"10,937,160"
106,"10,936,962"
107,"10,936,947"
108,"10,936,942"
109,"10,936,918"
110,"10,936,915"
111,"10,936,687"
112,"10,936,363"
113,"10,936,062"
114,"10,931,813"
115,"10,931,808"
116,"10,931,659"
117,"10,929,973"
118,"10,929,498"
119,"10,929,456"
120,"10,929,390"
121,"10,928,986"
122,"10,928,903"
123,"10,928,374"
124,"10,926,952"
125,"10,924,946"
126,"10,924,606"
127,"10,923,233"
128,"10,923,120"
129,"10,923,102"
130,"10,922,946"
131,"10,922,483"
132,"10,922,464"
133,"10,922,363"
134,"10,922,342"
135,"10,922,163"
136,"10,922,047"
137,"10,921,911"
138,"10,921,775"
139,"10,917,168"
140,"10,917,121"
141,"10,915,818"
142,"10,915,814"
143,"10,915,813"
144,"10,915,578"
145,"10,912,495"
146,"10,912,003"
147,"10,911,795"
148,"10,910,107"
149,"10,909,981"
150,"10,960,091"
151,"10,958,553"
152,"10,958,516"
153,"10,958,325"
154,"10,957,442"
155,"10,957,424"
156,"10,957,158"
157,"10,957,043"
158,"10,956,875"
159,"10,956,675"
160,"10,956,635"
161,"10,955,456"
162,"10,955,362"
163,"10,951,777"
164,"10,951,763"
165,"10,951,656"
166,"10,951,485"
167,"10,950,346"
168,"10,950,338"
169,"10,950,222"
170,"10,950,189"
171,"10,950,104"
172,"10,950,009"
173,"10,949,970"
174,"10,949,919"
175,"10,949,914"
176,"10,949,901"
177,"10,949,759"
178,"10,949,653"
179,"10,949,218"
180,"10,948,914"
181,"10,947,968"
182,"10,946,882"
183,"10,945,888"
184,"10,945,298"
185,"10,944,912"
186,"10,944,864"
187,"10,944,436"
188,"10,943,590"
189,"10,943,493"
190,"10,943,486"
191,"10,943,196"
192,"10,943,185"
193,"10,943,172"
194,"10,943,168"
195,"10,943,072"
196,"10,943,069"
197,"10,942,971"
198,"10,942,562"
199,"10,938,959"
200,"10,984,167"
201,"10,984,066"
202,"10,983,969"
203,"10,983,841"
204,"10,983,789"
205,"10,983,488"
206,"10,983,250"
207,"10,979,625"
208,"10,979,241"
209,"10,978,050"
210,"10,977,654"
211,"10,977,578"
212,"10,977,522"
213,"10,977,291"
214,"10,976,715"
215,"10,976,337"
216,"10,973,590"
217,"10,972,427"
218,"10,972,345"
219,"10,971,268"
220,"10,970,900"
221,"10,970,835"
222,"10,970,618"
223,"10,970,605"
224,"10,970,490"
225,"10,970,365"
226,"10,970,322"
227,"10,970,321"
228,"10,969,935"
229,"10,969,162"
230,"10,965,945"
231,"10,965,703"
232,"10,965,527"
233,"10,965,489"
234,"10,965,446"
235,"10,964,424"
236,"10,964,202"
237,"10,964,201"
238,"10,963,816"
239,"10,963,799"
240,"10,963,792"
241,"10,963,700"
242,"10,963,518"
243,"10,963,510"
244,"10,963,231"
245,"10,962,663"
246,"10,962,473"
247,"10,962,372"
248,"10,962,250"
249,"10,960,266"
250,"11,010,345"
251,"11,010,314"
252,"11,010,129"
253,"11,010,124"
254,"11,006,178"
255,"11,005,582"
256,"11,004,563"
257,"11,004,500"
258,"11,004,013"
259,"11,003,953"
260,"11,003,864"
261,"11,003,863"
262,"11,003,796"
263,"11,003,705"
264,"11,003,568"
265,"11,003,417"
266,"11,003,414"
267,"11,002,557"
268,"10,999,814"
269,"10,999,352"
270,"10,999,175"
271,"10,998,104"
272,"10,997,371"
273,"10,997,259"
274,"10,997,187"
275,"10,993,465"
276,"10,993,416"
277,"10,992,839"
278,"10,992,699"
279,"10,992,609"
280,"10,992,331"
281,"10,991,265"
282,"10,990,904"
283,"10,990,767"
284,"10,990,524"
285,"10,990,421"
286,"10,990,105"
287,"10,989,463"
288,"10,986,235"
289,"10,986,046"
290,"10,984,894"
291,"10,984,703"
292,"10,984,666"
293,"10,984,650"
294,"10,984,490"
295,"10,984,488"
296,"10,984,423"
297,"10,984,337"
298,"10,984,327"
299,"10,984,326"
300,"11,037,548"
301,"11,037,378"
302,"11,036,968"
303,"11,036,965"
304,"11,036,642"
305,"11,036,488"
306,"11,033,936"
307,"11,032,624"
308,"11,032,421"
309,"11,032,251"
310,"11,031,106"
311,"11,031,000"
312,"11,030,995"
313,"11,030,991"
314,"11,030,883"
315,"11,030,585"
316,"11,030,527"
317,"11,030,480"
318,"11,030,412"
319,"11,030,200"
320,"11,030,086"
321,"11,029,300"
322,"11,027,962"
323,"11,027,436"
324,"11,026,241"
325,"11,024,422"
326,"11,024,020"
327,"11,023,391"
328,"11,023,221"
329,"11,023,133"
330,"11,019,413"
331,"11,019,039"
332,"11,017,842"
333,"11,017,321"
334,"11,017,230"
335,"11,017,179"
336,"11,017,176"
337,"11,017,156"
338,"11,016,740"
339,"11,016,732"
340,"11,016,214"
341,"11,015,943"
342,"11,015,576"
343,"11,013,452"
344,"11,012,381"
345,"11,010,961"
346,"11,010,848"
347,"11,010,831"
348,"11,010,672"
349,"11,010,472"
350,"11,062,444"
351,"11,062,271"
352,"11,061,961"
353,"11,061,945"
354,"11,061,718"
355,"11,061,398"
356,"11,058,209"
357,"11,057,750"
358,"11,057,519"
359,"11,056,228"
360,"11,056,100"
361,"11,056,096"
362,"11,055,822"
363,"11,055,676"
364,"11,055,633"
365,"11,055,575"
366,"11,055,553"
367,"11,055,544"
368,"11,055,341"
369,"11,055,214"
370,"11,052,851"
371,"11,052,821"
372,"11,050,885"
373,"11,050,778"
374,"11,050,473"
375,"11,049,608"
376,"11,049,594"
377,"11,049,590"
378,"11,049,489"
379,"11,049,404"
380,"11,049,359"
381,"11,049,349"
382,"11,049,153"
383,"11,049,043"
384,"11,049,025"
385,"11,048,872"
386,"11,048,831"
387,"11,047,978"
388,"11,047,698"
389,"11,044,585"
390,"11,044,328"
391,"11,044,097"
392,"11,042,910"
393,"11,042,827"
394,"11,042,801"
395,"11,042,766"
396,"11,042,692"
397,"11,042,472"
398,"11,042,362"
399,"11,040,650"
400,"11,087,547"
401,"11,087,214"
402,"11,087,166"
403,"11,086,298"
404,"11,082,610"
405,"11,082,347"
406,"11,081,109"
407,"11,080,933"
408,"11,080,838"
409,"11,080,793"
410,"11,080,768"
411,"11,080,709"
412,"11,080,617"
413,"11,080,616"
414,"11,080,481"
415,"11,080,466"
416,"11,080,441"
417,"11,080,337"
418,"11,080,091"
419,"11,079,260"
420,"11,076,734"
421,"11,076,451"
422,"11,076,088"
423,"11,075,943"
424,"11,074,904"
425,"11,074,791"
426,"11,074,787"
427,"11,074,754"
428,"11,074,671"
429,"11,074,669"
430,"11,074,495"
431,"11,074,447"
432,"11,074,107"
433,"11,073,541"
434,"11,073,390"
435,"11,073,006"
436,"11,071,166"
437,"11,069,355"
438,"11,069,340"
439,"11,069,225"
440,"11,069,143"
441,"11,069,048"
442,"11,068,817"
443,"11,068,734"
444,"11,068,661"
445,"11,066,025"
446,"11,064,319"
447,"11,064,233"
448,"11,062,606"
449,"11,062,455"
450,"11,109,283"
451,"11,109,118"
452,"11,108,844"
453,"11,108,792"
454,"11,107,591"
455,"11,107,471"
456,"11,107,456"
457,"11,107,224"
458,"11,107,209"
459,"11,107,190"
460,"11,107,182"
461,"11,107,006"
462,"11,106,923"
463,"11,106,728"
464,"11,106,569"
465,"11,106,523"
466,"11,105,801"
467,"11,105,641"
468,"11,104,409"
469,"11,101,028"
470,"11,100,785"
471,"11,100,753"
472,"11,100,621"
473,"11,100,607"
474,"11,100,574"
475,"11,100,506"
476,"11,100,448"
477,"11,100,435"
478,"11,100,423"
479,"11,100,409"
480,"11,100,373"
481,"11,100,214"
482,"11,097,490"
483,"11,094,420"
484,"11,094,411"
485,"11,094,171"
486,"11,094,042"
487,"11,093,951"
488,"11,093,855"
489,"11,093,814"
490,"11,093,795"
491,"11,093,711"
492,"11,093,632"
493,"11,093,533"
494,"11,093,519"
495,"11,093,354"
496,"11,092,966"
497,"11,089,154"
498,"11,087,865"
499,"11,087,768"
500,"11,138,844"
501,"11,138,797"
502,"11,138,717"
503,"11,138,562"
504,"11,138,503"
505,"11,138,453"
506,"11,138,249"
507,"11,137,987"
508,"11,137,474"
509,"11,137,161"
510,"11,134,402"
511,"11,134,186"
512,"11,134,034"
513,"11,133,111"
514,"11,132,995"
515,"11,132,565"
516,"11,131,854"
517,"11,129,577"
518,"11,128,925"
519,"11,128,840"
520,"11,128,737"
521,"11,127,488"
522,"11,127,372"
523,"11,126,834"
524,"11,126,833"
525,"11,125,675"
526,"11,124,185"
527,"11,123,002"
528,"11,122,050"
529,"11,120,791"
530,"11,120,364"
531,"11,120,299"
532,"11,120,265"
533,"11,120,098"
534,"11,119,878"
535,"11,117,580"
536,"11,116,027"
537,"11,115,741"
538,"11,115,597"
539,"11,115,530"
540,"11,114,207"
541,"11,114,193"
542,"11,114,093"
543,"11,113,890"
544,"11,113,653"
545,"11,113,532"
546,"11,113,453"
547,"11,113,026"
548,"11,112,778"
549,"11,112,771"
550,"11,159,772"
551,"11,159,565"
552,"11,159,446"
553,"11,158,327"
554,"11,158,295"
555,"11,158,073"
556,"11,158,003"
557,"11,157,756"
558,"11,157,706"
559,"11,157,505"
560,"11,156,982"
561,"11,156,837"
562,"11,155,176"
563,"11,154,194"
564,"11,153,739"
565,"11,153,575"
566,"11,153,177"
567,"11,152,702"
568,"11,151,998"
569,"11,151,835"
570,"11,151,825"
571,"11,151,647"
572,"11,151,468"
573,"11,151,453"
574,"11,151,416"
575,"11,151,411"
576,"11,151,357"
577,"11,151,177"
578,"11,151,024"
579,"11,150,676"
580,"11,150,655"
581,"11,146,935"
582,"11,146,930"
583,"11,146,670"
584,"11,146,609"
585,"11,146,472"
586,"11,145,421"
587,"11,145,303"
588,"11,145,198"
589,"11,145,171"
590,"11,145,128"
591,"11,145,088"
592,"11,144,846"
593,"11,144,838"
594,"11,144,792"
595,"11,144,577"
596,"11,144,316"
597,"11,144,289"
598,"11,143,156"
599,"11,140,068"
