,0
0,"4,965,743"
1,"4,922,432"
2,"4,918,621"
3,"4,890,240"
4,"4,866,628"
5,"4,850,005"
6,"4,827,418"
7,"4,815,005"
8,"4,803,040"
9,"4,748,439"
10,"4,736,306"
11,H354
12,"4,698,751"
13,"4,670,848"
14,"4,658,372"
15,"5,629,986"
16,"5,629,862"
17,"5,602,906"
18,"5,581,694"
19,"5,577,185"
20,"5,546,507"
21,"5,511,146"
22,"5,510,859"
23,"5,499,030"
24,"5,495,576"
25,"5,473,732"
26,"5,467,268"
27,"5,457,626"
28,"5,424,959"
29,"5,418,858"
30,"5,416,892"
31,"5,414,647"
32,"5,412,758"
33,"5,412,756"
34,"5,404,161"
35,"5,402,526"
36,"5,402,524"
37,"5,398,304"
38,"5,392,320"
39,"5,392,223"
40,"5,388,188"
41,"5,377,116"
42,"5,367,449"
43,"5,357,427"
44,"5,355,306"
45,"5,349,644"
46,"5,325,466"
47,"5,319,572"
48,"5,309,485"
49,"5,305,194"
50,"5,298,695"
51,"5,274,560"
52,"5,259,067"
53,"5,218,669"
54,"5,202,526"
55,"5,182,793"
56,"5,157,668"
57,"5,097,510"
58,"5,073,862"
59,"5,058,113"
60,"5,022,497"
61,"4,999,833"
62,"4,979,126"
63,"4,974,191"
64,"4,967,337"
65,"6,092,058"
66,"6,085,184"
67,"6,073,127"
68,"6,067,538"
69,"6,067,537"
70,"6,064,998"
71,"6,058,260"
72,"6,055,531"
73,"6,054,928"
74,"6,047,279"
75,"6,032,142"
76,"6,032,141"
77,"6,029,159"
78,"6,029,158"
79,"6,029,156"
80,"6,026,395"
81,"6,026,386"
82,"6,023,692"
83,"6,023,691"
84,"6,018,732"
85,"6,018,731"
86,"6,018,730"
87,"6,016,486"
88,"6,003,021"
89,"5,987,443"
90,"5,966,683"
91,"5,950,194"
92,"5,944,839"
93,"5,943,652"
94,"5,924,085"
95,"5,848,976"
96,"5,841,949"
97,"5,809,493"
98,"5,768,122"
99,"5,760,760"
100,"5,758,027"
101,"5,751,915"
102,"5,748,846"
103,"5,745,706"
104,"5,742,517"
105,"5,741,230"
106,"5,737,728"
107,"5,724,254"
108,"5,723,794"
109,"5,715,371"
110,"5,701,400"
111,"5,694,599"
112,"5,680,476"
113,"5,675,521"
114,"5,666,469"
115,"6,668,219"
116,"6,658,398"
117,"6,640,227"
118,"6,615,070"
119,"6,611,881"
120,"6,609,118"
121,"6,609,050"
122,"6,606,529"
123,"6,600,749"
124,"6,591,166"
125,"6,587,846"
126,"6,587,786"
127,"6,553,355"
128,"6,549,893"
129,"6,542,880"
130,"6,540,520"
131,"6,535,861"
132,"6,529,872"
133,"6,518,584"
134,"6,493,690"
135,"6,446,014"
136,"6,437,696"
137,"6,434,530"
138,"6,424,956"
139,"6,390,097"
140,"6,363,328"
141,"6,351,713"
142,"6,345,205"
143,"6,331,964"
144,"6,317,728"
145,"6,317,486"
146,"6,308,649"
147,"6,278,913"
148,"6,275,789"
149,"6,273,822"
150,"6,259,889"
151,"6,246,326"
152,"6,185,337"
153,"6,164,973"
154,"6,141,241"
155,"6,137,912"
156,"6,134,539"
157,"6,125,358"
158,"6,125,311"
159,"6,119,185"
160,"6,118,066"
161,"6,112,750"
162,"6,112,181"
163,"6,101,489"
164,"6,097,927"
165,"7,194,444"
166,"7,193,515"
167,"7,156,665"
168,"7,152,092"
169,"7,143,066"
170,"7,117,191"
171,"7,117,189"
172,"7,110,983"
173,"7,107,089"
174,"7,092,914"
175,"7,092,857"
176,"7,090,576"
177,"7,089,222"
178,"7,085,560"
179,"7,081,579"
180,"7,080,057"
181,"7,071,823"
182,"7,065,513"
183,"7,065,512"
184,"7,062,580"
185,"7,062,484"
186,"7,062,076"
187,"7,054,848"
188,"7,028,018"
189,"6,993,513"
190,"6,993,512"
191,"6,970,858"
192,"6,954,678"
193,"6,947,914"
194,"6,938,021"
195,"6,936,007"
196,"6,934,613"
197,"6,931,387"
198,"6,925,443"
199,"6,892,194"
200,"6,866,587"
201,"6,853,889"
202,"6,847,931"
203,"6,820,062"
204,"6,798,914"
205,"6,795,778"
206,"6,782,374"
207,"6,771,595"
208,"6,748,369"
209,"6,745,170"
210,"6,738,760"
211,"6,738,753"
212,"6,732,082"
213,"6,729,884"
214,"6,693,815"
215,"7,668,691"
216,"7,660,778"
217,"7,647,645"
218,"7,647,339"
219,"7,647,294"
220,"7,636,632"
221,"7,627,632"
222,"7,584,024"
223,"7,562,059"
224,"7,559,045"
225,"7,558,807"
226,"7,558,767"
227,"7,558,671"
228,"7,536,363"
229,"7,536,231"
230,"7,523,079"
231,"7,516,063"
232,"7,513,460"
233,"7,513,459"
234,"7,512,570"
235,"7,510,110"
236,"7,493,295"
237,"7,464,753"
238,"7,454,783"
