,0
319,"11,275,898"
320,"11,275,889"
321,"11,275,841"
322,"11,275,810"
323,"11,274,865"
324,"11,273,357"
325,"11,271,822"
326,"11,270,799"
327,"11,270,785"
328,"11,270,748"
329,"11,270,700"
330,"11,270,694"
331,"11,270,669"
332,"11,270,565"
333,"11,270,469"
334,"11,270,399"
335,"11,270,397"
336,"11,270,352"
337,"11,270,253"
338,"11,270,200"
339,"11,270,114"
340,"11,270,081"
341,"11,270,070"
342,"11,270,060"
343,"11,269,822"
344,"11,269,801"
345,"11,269,760"
346,"11,269,591"
347,"11,269,342"
348,"11,267,470"
349,"11,265,564"
350,"11,301,619"
351,"11,301,520"
352,"11,301,269"
353,"11,301,245"
354,"11,301,223"
355,"11,299,838"
356,"11,299,516"
357,"11,298,560"
358,"11,298,099"
359,"11,297,643"
360,"11,297,093"
361,"11,295,848"
362,"11,295,608"
363,"11,295,436"
364,"11,295,367"
365,"11,295,241"
366,"11,295,238"
367,"11,295,237"
368,"11,295,214"
369,"11,295,194"
370,"11,295,169"
371,"11,295,166"
372,"11,295,077"
373,"11,294,985"
374,"11,294,891"
375,"11,294,338"
376,"11,293,987"
377,"11,291,917"
378,"11,289,078"
379,"11,289,074"
380,"11,289,058"
381,"11,288,953"
382,"11,288,840"
383,"11,288,770"
384,"11,288,720"
385,"11,288,672"
386,"11,288,574"
387,"11,288,545"
388,"11,288,416"
389,"11,288,414"
390,"11,288,294"
391,"11,288,050"
392,"11,285,941"
393,"11,284,238"
394,"11,283,738"
395,"11,283,609"
396,"11,282,608"
397,"11,282,522"
398,"11,282,498"
399,"11,282,221"
400,"11,315,251"
401,"11,315,249"
402,"11,315,227"
403,"11,315,196"
404,"11,315,017"
405,"11,314,951"
406,"11,314,921"
407,"11,313,711"
408,"11,312,506"
409,"11,310,636"
410,"11,310,259"
411,"11,310,068"
412,"11,309,028"
413,"11,308,964"
414,"11,308,955"
415,"11,308,954"
416,"11,308,856"
417,"11,308,792"
418,"11,308,614"
419,"11,308,538"
420,"11,308,402"
421,"11,308,323"
422,"11,308,186"
423,"11,307,949"
424,"11,307,892"
425,"11,307,735"
426,"11,307,593"
427,"11,307,416"
428,"11,305,979"
429,"11,305,775"
430,"11,305,198"
431,"11,304,761"
432,"11,304,074"
433,"11,303,856"
434,"11,303,730"
435,"11,302,545"
436,"11,302,445"
437,"11,302,324"
438,"11,302,319"
439,"11,302,311"
440,"11,302,160"
441,"11,302,094"
442,"11,302,071"
443,"11,302,044"
444,"11,302,031"
445,"11,301,980"
446,"11,301,951"
447,"11,301,883"
448,"11,301,747"
449,"11,301,746"
450,"11,334,724"
451,"11,334,571"
452,"11,334,084"
453,"11,333,876"
454,"11,333,514"
455,"11,332,091"
456,"11,331,025"
457,"11,330,384"
458,"11,330,023"
459,"11,330,004"
460,"11,329,737"
461,"11,328,819"
462,"11,328,718"
463,"11,328,717"
464,"11,328,609"
465,"11,328,436"
466,"11,328,396"
467,"11,328,181"
468,"11,327,988"
469,"11,327,935"
470,"11,326,293"
471,"11,326,291"
472,"11,324,455"
473,"11,323,896"
474,"11,323,835"
475,"11,322,255"
476,"11,322,149"
477,"11,322,144"
478,"11,322,134"
479,"11,321,894"
480,"11,321,844"
481,"11,321,833"
482,"11,321,717"
483,"11,321,671"
484,"11,321,620"
485,"11,321,614"
486,"11,321,611"
487,"11,321,522"
488,"11,321,161"
489,"11,320,905"
490,"11,320,883"
491,"11,320,829"
492,"11,318,958"
493,"11,318,952"
494,"11,318,938"
495,"11,318,614"
496,"11,316,542"
497,"11,315,688"
498,"11,315,553"
499,"11,315,549"
500,"11,350,167"
501,"11,349,975"
502,"11,349,853"
503,"11,349,743"
504,"11,349,714"
505,"11,349,680"
506,"11,349,679"
507,"11,348,664"
508,"11,348,585"
509,"11,348,583"
510,"11,348,129"
511,"11,348,125"
512,"11,348,110"
513,"11,348,031"
514,"11,348,030"
515,"11,348,015"
516,"11,348,014"
517,"11,347,966"
518,"11,347,962"
519,"11,347,817"
520,"11,347,805"
521,"11,347,679"
522,"11,347,482"
523,"11,347,481"
524,"11,347,226"
525,"11,345,610"
526,"11,345,234"
527,"11,344,696"
528,"11,344,243"
529,"11,343,266"
530,"11,342,076"
531,"11,341,619"
532,"11,341,439"
533,"11,341,423"
534,"11,341,395"
535,"11,341,363"
536,"11,341,338"
537,"11,340,917"
538,"11,340,704"
539,"11,340,619"
540,"11,338,817"
541,"11,335,340"
542,"11,335,325"
543,"11,335,126"
544,"11,335,112"
545,"11,335,086"
546,"11,335,045"
547,"11,334,801"
548,"11,334,794"
549,"11,334,754"
550,"11,368,758"
551,"11,368,608"
552,"11,367,441"
553,"11,367,438"
554,"11,367,169"
555,"11,367,117"
556,"11,367,068"
557,"11,367,008"
558,"11,366,979"
559,"11,366,969"
560,"11,366,963"
561,"11,366,917"
562,"11,366,857"
563,"11,364,932"
564,"11,364,418"
565,"11,363,479"
566,"11,362,803"
567,"11,362,539"
568,"11,361,780"
569,"11,361,769"
570,"11,361,751"
571,"11,361,423"
572,"11,361,404"
573,"11,361,221"
574,"11,361,211"
575,"11,361,033"
576,"11,360,467"
577,"11,360,442"
578,"11,360,441"
579,"11,359,327"
580,"11,358,613"
581,"11,357,896"
582,"11,356,514"
583,"11,356,335"
584,"11,355,239"
585,"11,355,228"
586,"11,355,101"
587,"11,354,621"
588,"11,354,581"
589,"11,354,508"
590,"11,354,458"
591,"11,354,431"
592,"11,354,237"
593,"11,353,945"
594,"11,353,259"
595,"11,353,218"
596,"11,352,014"
597,"11,352,013"
598,"11,351,580"
599,"11,350,809"
